,수치,비율,시도,YEAR,전년대비증가율
정상,17828.0,79.9605310369573,제주,2019,-0.911540013685169
폐업,1807.0,8.10459275206315,제주,2019,0.23422238169277954
휴업,44.0,0.1973448152134912,제주,2019,-0.015240218800114252
총합,22296.0,100.0,제주,2019,0.0
관심,1067.0,1.8000843525938424,충남,2019,-0.5475125681357504
관찰1,1887.0,3.183466891606917,충남,2019,-0.3136549615035622
관찰2,5059.0,8.534795444959933,충남,2019,0.28006210700307044
관찰3,1196.0,2.0177140447068744,충남,2019,0.5075538394221808
부도,0.0,0.0,충남,2019,0.0
정상,44437.0,74.96752425137073,충남,2019,0.11489924270161112
폐업,5553.0,9.368199072121469,충남,2019,0.022890798316073102
휴업,76.0,0.1282159426402362,충남,2019,-0.06423845780362261
총합,59275.0,100.0,충남,2019,0.0
관심,931.0,2.1881169502679327,충북,2019,-0.36963088418827494
관찰1,1116.0,2.622919996239541,충북,2019,-0.2572532472638276
관찰2,3050.0,7.168374541694086,충북,2019,0.32284999886444243
관찰3,896.0,2.1058569145435744,충북,2019,0.1303997441874627
부도,12.0,0.02820344081978001,충북,2019,0.004141843129693387
정상,32556.0,76.51593494406318,충북,2019,0.1877347515704031
폐업,3887.0,9.135564538873743,충북,2019,-0.11611977296456288
휴업,100.0,0.23502867349816675,충북,2019,0.09787756666467301
총합,42548.0,100.0,충북,2019,0.0
관심,638.0,1.8018526886579302,강원,2020,-0.2801849242548491
관찰1,1107.0,3.126412110257569,강원,2020,0.05222286103500151
관찰2,2147.0,6.063601446000904,강원,2020,-0.33355537319056605
관찰3,464.0,1.3104383190239492,강원,2020,-0.496166153062531
부도,0.0,0.0,강원,2020,-0.07700281356434177
정상,28102.0,79.36624491640308,강원,2020,0.8885313076365975
폐업,2855.0,8.063149570718481,강원,2020,0.2236708205333784
휴업,95.0,0.2683009489380931,강원,2020,0.022484274867309723
총합,35408.0,100.0,강원,2020,0.0
관심,6162.0,1.54106248780805,경기,2020,-0.21393144103585127
관찰1,11211.0,2.8037733772827083,경기,2020,-0.2804276478293124
관찰2,35219.0,8.807964907191126,경기,2020,-0.4623680930345291
관찰3,7322.0,1.831168376457407,경기,2020,-0.3442396804502792
부도,58.0,0.014505294432467852,경기,2020,-0.006448253164321419
정상,291381.0,72.87184822460198,경기,2020,-0.05670555079748851
폐업,47246.0,11.815812771661657,경기,2020,1.281819670214249
휴업,1255.0,0.3138645605646061,경기,2020,0.08230099609752464
총합,399854.0,100.0,경기,2020,0.0
관심,1332.0,2.0217965453386357,경남,2020,-0.004170963913073589
관찰1,1366.0,2.0734039646640965,경남,2020,-0.2959744459236222
관찰2,4187.0,6.3553019034030545,경남,2020,-0.42510329009879566
관찰3,1415.0,2.147779363103731,경남,2020,-0.2874586723977428
부도,8.0,0.01214292219422604,경남,2020,-0.02235497657012195
정상,49891.0,75.72781639901642,경남,2020,-0.2616460609973785
폐업,7506.0,11.393096748732583,경남,2020,1.246010253091864
휴업,177.0,0.26866215354725115,경남,2020,0.05069815680887069
총합,65882.0,100.0,경남,2020,0.0
관심,989.0,1.5400426665005684,경북,2020,-0.3994002079443246
관찰1,1962.0,3.0551705881436955,경북,2020,-0.2294479019653073
관찰2,5168.0,8.047462588953424,경북,2020,-0.27712360402195024
관찰3,1187.0,1.8483626341114001,경북,2020,-0.34461273932420733
부도,8.0,0.012457372428720474,경북,2020,0.012457372428720474
정상,48700.0,75.83425465983588,경북,2020,0.13461800258920675
폐업,6116.0,9.5236612217568,경북,2020,1.0973390578488456
휴업,89.0,0.13858826826951526,경북,2020,0.006170020389014652
총합,64219.0,100.0,경북,2020,0.0
관심,732.0,1.2932633699051252,광주,2020,-0.25612694221032384
관찰1,1911.0,3.3762654370064134,광주,2020,0.2700268570011928
관찰2,4568.0,8.070528789244007,광주,2020,-0.7447749360049016
관찰3,881.0,1.5565096023038463,광주,2020,-0.41239072211723005
부도,0.0,0.0,광주,2020,0.0
정상,42743.0,75.51633363368138,광주,2020,-0.17073054202805338
폐업,5655.0,9.990989558488366,광주,2020,1.3248449487259002
휴업,111.0,0.19610960937085914,광주,2020,-0.010848663366583522
총합,56601.0,100.0,광주,2020,0.0
관심,874.0,1.5469574144217493,대구,2020,-0.06444347976603004
관찰1,1774.0,3.139934156961308,대구,2020,-0.20395555987922886
관찰2,4649.0,8.228609862296011,대구,2020,-0.2997060840527226
관찰3,979.0,1.7328047010513647,대구,2020,-0.2958838235387993
부도,0.0,0.0,대구,2020,-0.01676602086438152
정상,41545.0,73.53357640978442,대구,2020,-0.35986621316641276
폐업,6518.0,11.536691564303162,대구,2020,1.108226586657855
휴업,159.0,0.28142589118198874,대구,2020,0.13239459460970857
총합,56498.0,100.0,대구,2020,0.0
관심,714.0,1.6103204853514963,대전,2020,-0.049896417806499116
관찰1,1494.0,3.3694941248111143,대전,2020,-0.13726618286649295
관찰2,3559.0,8.026793567739462,대전,2020,-1.7123493303542734
관찰3,822.0,1.853898373892059,대전,2020,-0.34141002035570733
부도,0.0,0.0,대전,2020,0.0
정상,32462.0,73.21319831299759,대전,2020,1.2625031718194322
폐업,5149.0,11.612801371253298,대전,2020,0.8990275429603347
휴업,139.0,0.3134937639549832,대전,2020,0.07939123660320829
총합,44339.0,100.0,대전,2020,0.0
관심,1394.0,1.6767907620135925,부산,2020,-0.30597758894016813
관찰1,2127.0,2.558489204306249,부산,2020,-0.2921322136051345
관찰2,5564.0,6.692728694292416,부산,2020,-0.26639943944725264
관찰3,1635.0,1.9666807000661573,부산,2020,-0.5252615601141857
부도,36.0,0.043303061285860346,부산,2020,0.005679373411974949
정상,62296.0,74.93354182955434,부산,2020,-0.34518699144469167
폐업,9784.0,11.768809767246045,부산,2020,1.5414372801948648
휴업,299.0,0.3596559812353401,부산,2020,0.18784113994459678
총합,83135.0,100.0,부산,2020,0.0
관심,7514.0,1.80592875305835,서울,2020,-0.25349013688716315
관찰1,13636.0,3.27730163384398,서울,2020,-0.2235357616687783
관찰2,27164.0,6.528646346563352,서울,2020,-0.614799130377695
관찰3,7873.0,1.892211481611444,서울,2020,-0.3708779711986361
부도,68.0,0.01634324663401222,서울,2020,-0.004872436997713465
정상,301304.0,72.41596446785908,서울,2020,-0.33810582344473517
폐업,56994.0,13.698044097924889,서울,2020,1.7131796162240391
휴업,1521.0,0.365559972504891,서울,2020,0.09250164435068042
총합,416074.0,100.0,서울,2020,0.0
관심,180.0,2.088894046651967,세종,2020,-0.25263247339977957
관찰1,200.0,2.3209933851688525,세종,2020,-1.598799629061419
관찰2,514.0,5.96495299988395,세종,2020,-0.4386692510862966
관찰3,132.0,1.5318556342114424,세종,2020,-0.4086359569916622
부도,0.0,0.0,세종,2020,0.0
정상,7024.0,81.51328768713009,세종,2020,1.888449394762688
폐업,560.0,6.498781478472786,세종,2020,0.9489755276319061
휴업,7.0,0.08123476848090982,세종,2020,-0.13868761185544204
총합,8617.0,100.0,세종,2020,0.0
관심,328.0,1.5469509031740791,울산,2020,-0.7341955191304639
관찰1,591.0,2.787341413950856,울산,2020,0.8620148395698848
관찰2,1583.0,7.465924633306607,울산,2020,-0.6058242456171596
관찰3,487.0,2.296844786115172,울산,2020,-0.4960973078602615
부도,4.0,0.018865254916757064,울산,2020,0.018865254916757064
정상,15641.0,73.7678630382493,울산,2020,-0.7885807129692637
폐업,2476.0,11.677592793472622,울산,2020,1.7585052520415445
휴업,93.0,0.43861717681460166,울산,2020,-0.014687560951044676
총합,21203.0,100.0,울산,2020,0.0
관심,1099.0,1.483571370717352,인천,2020,-0.2811599547054482
관찰1,2357.0,3.1817813655876237,인천,2020,-0.18620260188595594
관찰2,6443.0,8.697589027781527,인천,2020,-0.6696163817543663
관찰3,1553.0,2.0964388887388967,인천,2020,-0.5001960108415471
부도,58.0,0.07829585031993304,인천,2020,-0.02839542262229508
정상,52179.0,70.4379167904101,인천,2020,-0.2565857254854649
폐업,10091.0,13.622128027214558,인천,2020,1.8413930108504228
휴업,298.0,0.4022786792300008,인천,2020,0.0807630864446377
총합,74078.0,100.0,인천,2020,0.0
관심,1248.0,2.1921658176708236,전남,2020,-0.37991954443028586
관찰1,1074.0,1.8865273142455647,전남,2020,-0.10634107679829263
관찰2,3206.0,5.6314772527665555,전남,2020,-0.11363107890756297
관찰3,1012.0,1.777621640611277,전남,2020,-0.2514478111236589
부도,0.0,0.0,전남,2020,0.0
정상,45440.0,79.8173195151941,전남,2020,0.08086323702514164
폐업,4800.0,8.43140699104163,전남,2020,0.7278212759801796
