시도,업종코드_10차_변형,기업수,증가율,설립일자
서울,"하수, 폐수 및 분뇨 처리업",1,0.0,2018
서울,항공 운송업,1,0.0,2018
서울,협회 및 단체,61,0.0,2018
서울,화학 물질 및 화학제품 제조업; 의약품 제외,273,0.0,2018
서울,환경 정화 및 복원업,1,0.0,2018
세종,1차 금속 제조업,1,0.0,2018
세종,가구 제조업,1,0.0,2018
세종,개인 및 소비용품 수리업,1,0.0,2018
세종,"건축 기술, 엔지니어링 및 기타 과학기술 서비스업",5,0.0,2018
세종,고무 및 플라스틱제품 제조업,2,0.0,2018
세종,교육 서비스업,4,0.0,2018
세종,금속 가공제품 제조업; 기계 및 가구 제외,1,0.0,2018
세종,금융 및 보험관련 서비스업,4,0.0,2018
세종,금융업,1,0.0,2018
세종,기타 개인 서비스업,1,0.0,2018
세종,기타 기계 및 장비 제조업,3,0.0,2018
